Isolate,BioSample,Assembly,amoxicillin-clavulanic acid,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,gentamicin,levofloxacin,piperacillin-tazobactam,tetracycline,tobramycin,trimethoprim-sulfamethoxazole
PDT001830415.1,SAMN36726481,GCA_032338655.1,S,S,S,S,R,R,R,R,S,S,I,R
PDT001830416.1,SAMN36726480,GCA_032338575.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830417.1,SAMN36726479,GCA_032338615.1,I,S,R,I,R,R,R,R,S,R,R,S
PDT001830420.1,SAMN36726477,GCA_032338555.1,I,S,R,R,R,R,R,R,S,S,R,S
PDT001830421.1,SAMN36726476,GCA_032338535.1,S,S,S,S,S,S,S,S,S,S,S,S
PDT001830424.1,SAMN36726473,GCA_032338475.1,S,S,R,R,R,S,S,S,S,I,S,S
PDT001830429.1,SAMN36726468,GCA_032338435.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830434.1,SAMN36726462,GCA_032338275.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830435.1,SAMN36726461,GCA_032338295.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830439.1,SAMN36726432,GCA_032338355.1,S,S,S,S,R,S,S,I,S,S,S,S
PDT001830440.1,SAMN36726430,GCA_032338315.1,S,R,S,S,R,R,R,R,S,R,R,R
PDT001830445.1,SAMN36726426,GCA_032338255.1,S,S,S,S,R,S,S,S,S,S,S,S
PDT001830447.1,SAMN36726424,GCA_032338195.1,S,S,S,S,R,R,R,R,S,S,R,S
PDT001830449.1,SAMN36726422,GCA_032338235.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830450.1,SAMN36726421,GCA_032338175.1,R,S,R,R,R,S,S,S,R,S,S,S
PDT001830452.1,SAMN36726419,GCA_032338155.1,I,S,R,S,R,I,S,I,R,S,S,S
PDT001830454.1,SAMN36726418,GCA_032338135.1,R,R,R,R,R,R,S,R,I,R,S,R
PDT001830455.1,SAMN36726417,GCA_032338115.1,R,S,R,R,R,S,S,S,I,R,S,S
PDT001830457.1,SAMN36726415,GCA_032338095.1,S,S,R,S,S,S,S,I,R,R,S,S
PDT001830459.3,SAMN36726413,GCA_033200695.1,S,S,S,R,R,R,S,R,S,S,S,R
PDT001830460.1,SAMN36726412,GCA_032338075.1,I,S,R,R,R,R,S,R,S,R,R,R
PDT001830461.1,SAMN36726411,GCA_032338055.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830465.1,SAMN36726458,GCA_032338015.1,S,R,S,R,R,R,S,R,S,R,S,R
PDT001830467.1,SAMN36726456,GCA_032337955.1,S,S,S,S,R,R,S,I,S,R,S,R
PDT001830468.1,SAMN36726455,GCA_032337995.1,S,S,S,S,R,S,S,S,S,R,S,S
PDT001830469.1,SAMN36726454,GCA_032337935.1,R,R,R,R,R,R,R,R,R,R,I,R
PDT001830473.1,SAMN36726450,GCA_032337915.1,S,S,S,R,R,S,S,S,S,R,S,S
PDT001830475.1,SAMN36726404,GCA_032337835.1,R,S,R,R,R,S,S,S,S,S,S,S
PDT001830477.1,SAMN36726447,GCA_032337755.1,S,S,I,R,R,R,S,R,S,S,S,S
PDT001830480.1,SAMN36726444,GCA_032337855.1,S,S,I,S,R,S,S,S,S,S,S,S
PDT001830485.1,SAMN36726439,GCA_032337715.1,I,S,R,R,R,R,R,R,S,S,R,S
PDT001830486.1,SAMN36726403,GCA_032337735.1,I,S,S,S,R,R,R,R,S,R,R,R
