SMILES,pka_value
Brc1cc2cccnc2c2ncccc12,4.2
Brc1ccc2ccccc2n1,1.05
Brc1ccc2cccnc2c1,3.87
Brc1ccc2ncccc2c1,3.91
Brc1cccc2cccnc12,3.13
Brc1cccc2ncccc12,3.62
Brc1ccccn1,0.8049999999999999
Brc1cccnc1,2.8449999999999998
Brc1ccnc2c1ccc1cccnc12,4.01
Brc1ccncc1,3.75
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.88
Brc1cnc2ccccc2c1,2.7199999999999998
Brc1cncc(Br)c1,0.82
Brc1cncc2ccccc12,3.31
C#CC(C)(C)N(C)C,7.96
C#CC(C)(C)NC(C)(C)C=C,8.2
C#CCNN,5.46
C#CCNc1ccccc1,3.06
C(CN1CCOCC1)CN1CCOCC1,7.25
C/C(=N\NC(N)=O)C(=O)O,0.59
C/C=N/NC(N)=O,1.1
C1=C(C2CCCCC2)NCC1,7.91
C1=C(Cc2ccccc2)NCC1,7.06
C1=C(c2ccccc2)NCC1,
C1=NNC=NN1,2.25
C1CC2CCC1CNC2,10.57
C1CCC(C2CCCN2)CC1,10.76
C1CCC(CNCCNCC2CCCC2)C1,10.34
C1CCC(CNCCNCC2CCCCC2)CC1,10.27
C1CCC(NC2CCCC2)C1,10.93
C1CCC(NC2CCCCC2)CC1,11.25
C1CCC(NCCNC2CCCC2)C1,10.36
C1CCC(NCCNC2CCCCC2)CC1,10.3
C1CCCNCC1,11.07
C1CCNC1,11.2875
C1CCNCC1,11.137166666666666
C1CCSC1,-4.81
C1CN(CCN2CCOCC2)CCO1,6.65
C1CN1,7.983333333333333
C1CN2CCC1CC2,10.95
C1CN2CCN1CC2,8.81
C1CNC1,11.29
C1CNCCN1,9.7705
C1COCCN1,8.404000000000002
C1CSCCN1,9.0
C1N2CN3CN1CN(C2)C3,6.3
C=C(C)CC(=O)OC(C)N1CCCCC1,8.37
C=C1CCCN(C)C1,9.31
C=C1CCN(C)C(C)C1,9.25
C=C1CCN(C)CC1,9.03
C=C1CCN(C)CC1C,9.09
C=CC(C)(C)NC(C)(C)C=C,10.1
C=CC(C)(C)NC(C)(C)CC,10.8
C=CCN,9.49
C=CCN(CC=C)CC=C,8.31
C=CCN1CCCCC1,9.65
C=CCN1CCOCC1,7.02
C=CCNCC=C,9.29
C=CCNc1ccccc1,4.17
C=CCOc1nc(N)nc(N)n1,3.43
C=Cc1ccc(C)nc1,5.67
C=Cc1ccccn1,4.95
C=Cc1ccncc1,5.62
CC#CC(C)(C)N(C)C,8.91
CC#CCN(C)C,8.28
CC(=CC(C)=Nc1ccccc1)Nc1ccccc1,7.2
CC(=N)N,12.4
CC(=O)C(C)(C)C,-7.1
CC(=O)C(C)C,-7.1
CC(=O)C=C(C)C,0.25
CC(=O)CC(C)(C)O,0.52
CC(=O)N(C)c1ccccc1,-0.5
CC(=O)N1CCNC1=N,9.06
CC(=O)N1CCNCC1,7.94
CC(=O)N=C1NCCN1,7.48
CC(=O)NC(C1=NCCS1)C(C)C,3.64
CC(=O)NCCN,9.15
CC(=O)NCCc1c[nH]cn1,6.99
CC(=O)NCCc1nc(I)[nH]c1I,2.99
CC(=O)NCCc1nc[nH]c1I,4.73
CC(=O)NNc1ccccc1,1.3
CC(=O)Nc1ccccc1,0.5
CC(=O)OC(C)CN(C)C,8.32
CC(=O)OCCN,9.1
CC(=O)OCCN(C)C,8.35
CC(=O)OCCc1c[nH]cn1,6.97
CC(=O)OCc1c[nH]cn1,6.2
CC(=O)SCCN(C)C,8.27
CC(=O)c1ccc(-c2ccc(N)cc2)cc1,3.98
CC(=O)c1ccc(Cl)cc1,-6.52
CC(=O)c1ccc(F)cc1,-6.06
CC(=O)c1ccc(N)c(N)c1,3.56
CC(=O)c1ccc(N)c([N+](=O)[O-])c1,-2.85
CC(=O)c1ccc(N)cc1,2.3800000000000003
CC(=O)c1ccc(O)c2ncccc12,4.385
CC(=O)c1ccc(O)cc1,-4.73
CC(=O)c1ccc([N+](=O)[O-])cc1,-7.94
CC(=O)c1ccc2ccccc2c1,-5.71
CC(=O)c1cccc(Br)c1,-6.9
CC(=O)c1cccc(C)c1,-6.02
CC(=O)c1cccc(Cl)c1,-7.01
CC(=O)c1cccc(N)c1,3.5833333333333335
CC(=O)c1cccc(O)c1,-6.59
CC(=O)c1cccc([N+](=O)[O-])c1,-7.62
CC(=O)c1ccccc1,-6.275
CC(=O)c1ccccc1N,2.31
CC(=O)c1ccccn1,2.755
CC(=O)c1cccnc1,3.2466666666666666
CC(=O)c1ccncc1,3.51
CC(=O)n1ccnc1,3.6
CC(C)(C)CC(C)(C)N,10.73
CC(C)(C)CN,10.08
CC(C)(C)Cc1nccs1,3.37
