#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,0.020000000000000004,-231199.5301229587,-228171.45647222537,25.10294659612087
20,0.04000000000000002,-232676.87826748996,-226867.2977545716,48.16183692438787
30,0.06000000000000004,-234159.76805536135,-225741.23780979647,69.79021633805533
40,0.08000000000000006,-235418.46995965822,-224614.95593022252,89.56190205799298
50,0.10000000000000007,-236468.36668817385,-223676.19918708352,106.04798121430643
60,0.12000000000000009,-237189.99364129885,-222675.34565147542,120.32746735264915
70,0.1400000000000001,-237377.62157098635,-221795.64655420487,129.17568455233177
80,0.16000000000000011,-237395.2588005854,-221056.6067262285,135.44859134316428
90,0.18000000000000013,-237131.34913261665,-220329.1297702089,139.29159723333822
100,0.20000000000000015,-236735.95679863228,-219486.81922843482,142.996581060354
110,0.22000000000000017,-236136.9570427729,-218667.45535583206,144.82341530957066
120,0.24000000000000019,-235879.28663261665,-217904.49043138773,149.01234288219248
130,0.2600000000000002,-235850.4654405614,-217240.35652771735,154.27913058653033
140,0.2800000000000002,-235672.9478624364,-216528.0951531747,158.71219480900317
150,0.3000000000000002,-235503.49229603016,-215913.67178344697,162.40100964382984
160,0.32000000000000023,-235240.57530384266,-215172.35087535984,166.36701223735827
170,0.34000000000000025,-235039.3423936864,-214497.64154567948,170.29216553439187
180,0.36000000000000026,-234832.80577259266,-213821.84838848741,174.18233569676684
190,0.3800000000000003,-234631.63585071766,-213280.0348488189,177.00629559077703
200,0.4000000000000003,-234301.0152452489,-212694.88620217127,179.11635121091737
210,0.4200000000000003,-234309.86924915516,-212097.9753061114,184.13818544865848
220,0.44000000000000034,-233972.56260853016,-211560.6143102995,185.79665032561462
230,0.46000000000000035,-233620.2281358739,-211061.02076111303,187.01743857593914
240,0.48000000000000037,-233849.0972764989,-210625.0276320508,192.52919422484564
250,0.5000000000000003,-233551.07823353016,-210152.7603847155,193.97372427041566
260,0.5200000000000004,-233392.5123155614,-209804.8206311636,195.54364687787776
270,0.5400000000000004,-233328.9703233739,-209183.11423271056,200.17086962688393
280,0.5600000000000004,-233402.5871040835,-208729.36015079275,204.54281170222936
290,0.5800000000000004,-232964.15570759913,-208314.14831982856,204.35031984751603
300,0.6000000000000004,-232824.5890572085,-207853.67797838093,207.010634340577
310,0.6200000000000004,-232404.04950642725,-207505.44535167876,206.41120478137614
320,0.6400000000000005,-232307.79755330225,-207134.43437320046,208.6889767036594
330,0.6600000000000005,-232265.24872517725,-206771.38463511318,211.3459521127096
340,0.6800000000000005,-232050.58466267725,-206332.83203803503,213.20200403721873
350,0.7000000000000005,-232082.23906474875,-206033.5011924185,215.9458953539983
360,0.7200000000000005,-232309.00908428,-205548.82569787,221.8438294223024
370,0.7400000000000005,-232118.06914287375,-205200.6562073637,223.14727360155314
380,0.7600000000000006,-232063.52223482553,-204815.74701726856,225.88600048872382
390,0.7800000000000006,-231766.28102388803,-204454.06442742643,226.42022411727768
400,0.8000000000000006,-231461.64039888803,-203965.78208653245,227.94262704357058
410,0.8200000000000006,-231342.30787935678,-203753.06385950197,228.71680122114591
420,0.8400000000000006,-231166.89723482553,-203435.4975174194,229.89528209564534
430,0.8600000000000007,-230917.46657076303,-203082.8336415037,230.75109278686466
440,0.8800000000000007,-230627.17848482553,-202727.87396501563,231.28722488638738
450,0.9000000000000007,-230805.54811373178,-202487.04791609303,234.76238696222202
460,0.9200000000000007,-230380.84645357553,-202093.21601985488,234.50647441700255
470,0.9400000000000007,-230139.26246920053,-201700.2928512924,235.76108705089226
480,0.9600000000000007,-230073.99147310678,-201485.22762468923,237.00289190856972
490,0.9800000000000008,-230043.14284029428,-201096.53408094146,239.96945174991498
500,1.0000000000000007,-230261.8310045877,-200952.21313302265,242.97882318827544
510,1.0200000000000007,-230399.2782702127,-200659.83258738962,246.54212640876509
520,1.0400000000000007,-230020.42817255645,-200526.81354362774,244.50416943368165
530,1.0600000000000007,-230002.18989130645,-200316.99386768762,246.09239286363413
