TV,Billboards,Google_Ads,Social_Media,Influencer_Marketing,Affiliate_Marketing,Product_Sold
281.42,538.8,123.94,349.3,242.77,910.1,7164.0
702.97,296.53,558.13,180.55,781.06,132.43,5055.0
313.14,295.94,642.96,505.71,438.91,464.23,6154.0
898.52,61.27,548.73,240.93,278.96,432.27,5480.0
766.52,550.72,651.91,666.33,396.33,841.93,9669.0
507.13,612.27,230.67,142.96,171.79,965.77,7627.0
486.64,555.02,203.26,271.62,70.04,366.25,5177.0
762.09,184.57,176.61,97.85,116.67,251.74,3726.0
638.6,778.31,796.32,759.04,857.13,515.16,9801.0
591.48,542.51,400.23,329.15,577.38,931.65,8652.0
667.17,577.85,898.19,970.28,789.52,852.99,11210.0
787.33,947.73,884.15,992.3,871.55,742.36,12227.0
537.75,865.19,768.61,626.87,702.96,211.92,8093.0
735.78,661.81,282.0,102.96,588.45,585.74,7181.0
631.14,207.04,939.62,358.88,515.59,778.49,7910.0
334.12,515.21,565.22,153.75,685.88,271.07,5337.0
194.33,558.81,571.82,531.53,485.4,155.53,5468.0
955.97,890.21,343.96,609.33,62.99,307.14,7937.0
974.14,188.8,606.22,74.83,820.43,408.68,6228.0
93.47,889.82,702.23,31.38,178.92,710.91,7026.0
853.65,958.04,810.77,347.92,120.96,38.61,6966.0
79.78,798.01,881.29,252.3,680.24,399.95,6929.0
596.8,121.5,364.02,145.03,106.09,559.05,4830.0
297.32,168.27,38.43,968.13,238.44,636.42,6425.0
189.51,659.44,775.37,895.59,760.58,581.76,9001.0
732.71,585.45,540.89,695.95,227.02,633.09,8564.0
214.34,283.19,654.88,855.9,0.77,145.27,5008.0
98.83,575.33,19.94,800.94,673.3,385.92,6306.0
179.73,692.17,973.09,580.06,271.49,129.04,6198.0
830.84,240.22,303.98,793.12,739.97,430.35,7423.0
439.57,566.54,184.38,526.25,120.21,269.41,5399.0
911.58,319.0,290.08,316.48,452.77,274.45,5654.0
862.97,656.05,337.34,834.98,827.64,308.37,8512.0
707.06,642.66,274.79,213.33,984.21,481.27,7383.0
721.5,561.22,528.76,887.1,3.28,450.98,7949.0
909.22,28.38,600.33,758.0,872.4,306.31,6987.0
165.26,517.76,172.03,170.31,169.94,206.04,3600.0
552.49,6.01,69.07,304.15,52.77,667.78,4720.0
922.68,467.72,871.4,664.95,827.6,385.17,8744.0
584.53,299.73,831.96,573.63,898.26,452.69,7636.0
126.3,89.18,351.92,35.43,547.99,923.44,5487.0
766.86,164.18,72.95,471.67,959.81,720.36,7316.0
532.28,795.59,192.91,298.49,836.0,825.6,8792.0
573.64,196.64,802.07,109.31,351.06,902.89,7236.0
327.24,910.57,942.83,32.52,846.53,57.44,6136.0
748.8,526.25,144.98,624.03,117.05,987.58,8943.0
847.61,700.94,349.72,155.25,811.17,170.85,6356.0
357.67,945.38,924.43,586.17,868.45,85.29,7806.0
962.92,86.72,576.72,276.39,916.96,328.88,6153.0
327.43,325.09,852.14,786.06,11.18,483.1,6809.0
637.84,191.38,629.57,470.89,241.79,270.87,5356.0
800.5,358.92,982.04,192.2,246.33,64.39,5182.0
297.49,317.84,449.9,257.88,200.25,311.59,4373.0
458.15,539.02,394.62,829.0,522.14,240.13,6779.0
187.95,912.23,337.43,206.61,47.44,616.45,6667.0
908.42,417.74,358.1,230.22,654.42,542.42,7124.0
800.14,576.92,984.33,254.77,285.79,689.01,8554.0
217.39,533.83,526.94,393.81,486.13,390.64,5957.0
236.29,335.11,480.23,555.73,527.03,71.12,4499.0
966.65,20.64,439.86,496.81,282.27,595.38,6598.0
946.68,429.45,603.51,910.23,479.18,902.26,10543.0
480.33,386.61,926.8,901.98,559.91,949.15,10223.0
107.84,373.19,502.84,407.08,628.77,185.25,4593.0
929.58,532.21,736.11,557.15,775.83,206.43,7723.0
773.82,831.53,960.7,353.72,394.54,192.38,7611.0
367.73,824.44,566.91,767.46,781.79,327.23,8216.0
226.6,11.0,71.35,11.69,485.85,791.91,4384.0
576.73,756.33,87.96,369.57,223.6,914.72,8421.0
4.95,667.51,14.86,873.18,825.37,510.47,7236.0
976.88,832.08,79.47,619.22,368.12,260.66,7584.0
402.63,638.9,236.86,917.84,105.81,859.22,8925.0
254.3,526.4,448.11,694.84,176.67,928.28,8428.0
211.37,925.49,614.64,918.84,695.52,599.91,9658.0
579.98,330.09,787.75,438.44,193.77,257.0,5688.0
306.18,137.08,549.85,725.44,890.43,381.03,6245.0
592.24,73.4,847.47,595.24,721.16,931.95,8744.0
503.08,875.25,57.35,837.4,49.45,493.39,7838.0
628.35,943.41,461.31,162.85,344.75,318.33,6860.0
344.11,179.19,30.19,535.22,118.13,353.31,4151.0
814.57,795.23,539.03,630.16,150.17,378.63,8099.0
275.46,334.21,974.15,657.96,338.91,501.63,7087.0
516.34,682.94,670.66,593.97,665.91,237.67,7321.0
438.1,556.71,823.93,362.43,576.68,19.49,5453.0
309.23,254.62,616.46,888.42,216.48,901.14,8380.0
280.46,676.19,729.46,539.74,548.07,324.9,6984.0
627.1,520.53,461.58,646.87,999.79,681.44,9037.0
472.66,288.53,836.27,679.08,490.43,294.0,6525.0
484.3,857.63,969.6,50.03,807.26,22.11,6184.0
253.65,51.38,417.09,689.61,885.97,74.93,4368.0
564.09,321.15,590.16,161.65,109.3,776.77,6603.0
154.83,302.06,911.95,100.35,143.65,623.62,5519.0
909.36,487.33,344.62,285.48,91.26,926.73,8320.0
867.51,932.27,148.9,373.02,570.23,531.79,8504.0
992.99,831.97,982.63,361.36,331.65,574.97,9553.0
331.82,175.46,763.6,352.17,256.97,372.7,5019.0
479.95,842.11,196.97,595.41,883.59,337.1,7677.0
788.17,825.42,912.89,235.03,938.7,907.57,10763.0
540.69,326.95,362.71,597.94,255.6,635.3,6959.0
679.14,447.24,395.3,421.19,565.18,169.63,5692.0
283.57,358.42,213.66,29.11,622.68,90.42,3141.0
751.82,145.44,471.13,744.64,534.31,809.25,8387.0
835.52,315.69,142.37,764.15,563.82,833.02,8760.0
5.77,169.34,725.49,477.59,363.65,429.3,4945.0
322.0,605.12,47.46,531.5,839.57,694.12,7639.0
927.85,609.14,185.13,117.63,326.15,685.77,7395.0
142.99,644.11,93.04,221.03,547.35,968.01,7430.0
196.22,945.14,807.19,314.81,691.84,293.48,7219.0
204.8,416.06,743.94,884.94,11.75,750.43,8000.0
899.43,712.96,760.18,762.53,75.72,378.28,8576.0
204.63,624.34,566.31,379.17,952.84,786.09,8368.0
100.6,606.55,88.07,681.03,251.5,68.65,4427.0
837.69,633.04,348.36,48.06,649.56,834.14,8332.0
319.67,510.24,421.67,851.19,21.56,377.89,6473.0
481.36,142.48,493.66,588.1,784.36,814.73,7803.0
632.14,332.75,875.67,63.47,979.73,85.44,5255.0
791.08,238.26,369.8,199.95,378.52,285.02,4941.0
747.35,261.12,37.92,934.6,770.3,710.22,8425.0
675.29,182.0,805.35,547.92,414.81,769.94,8039.0
288.31,233.38,936.94,349.42,598.62,54.17,4481.0
411.39,336.15,206.56,411.67,502.62,763.13,6831.0
983.4,583.08,544.15,443.14,791.0,864.11,10049.0
536.33,759.45,451.21,653.83,614.92,160.29,7044.0
250.42,727.86,310.57,360.1,267.09,389.7,5931.0
775.64,605.6,605.68,189.84,732.13,923.42,9318.0
297.55,132.32,771.99,810.67,480.55,280.3,5881.0
394.3,741.23,353.72,320.03,956.05,436.94,7231.0
375.35,860.54,694.24,408.09,61.92,325.88,6763.0
341.92,886.64,355.31,663.6,278.87,718.15,8737.0
318.73,858.87,896.81,485.14,929.73,459.97,8724.0
972.28,816.97,430.3,401.46,555.19,351.3,8130.0
350.3,185.3,353.98,574.66,1.1,860.7,6678.0
520.95,278.31,634.73,510.64,449.85,413.95,6281.0
642.75,878.1,999.23,662.46,117.02,454.2,9006.0
383.91,864.55,673.49,809.05,927.93,318.49,8776.0
427.73,791.7,179.24,487.63,901.61,211.18,6657.0
377.42,813.58,167.37,588.21,966.39,532.65,8198.0
767.6,819.62,663.57,144.69,342.12,262.48,6802.0
670.26,56.23,487.73,679.19,179.2,789.95,7331.0
447.56,727.43,144.06,317.25,251.04,981.17,8313.0
14.03,659.34,112.32,425.96,998.3,936.46,8178.0
632.93,653.66,251.56,734.0,879.12,138.78,7048.0
961.72,801.42,247.44,562.54,772.64,762.27,10094.0
677.28,651.75,68.23,569.2,100.51,515.51,7003.0
8.84,416.59,716.0,949.21,624.59,623.31,7966.0
269.46,304.74,221.85,57.73,669.73,641.68,5292.0
1.04,19.68,900.71,55.67,379.03,63.1,2259.0
236.32,172.26,936.65,48.26,293.03,582.58,5191.0
639.02,873.2,972.38,961.58,761.14,307.13,9889.0
846.02,919.07,403.48,429.08,24.8,632.37,8687.0
330.77,248.54,161.3,779.52,310.61,661.73,6613.0
533.6,633.38,605.78,906.55,332.73,312.64,7784.0
16.19,678.98,522.05,644.91,41.61,743.54,7455.0
259.43,329.67,656.14,914.94,703.49,662.19,8277.0
875.12,384.08,808.14,552.05,616.29,605.12,8659.0
333.54,796.11,516.83,794.89,193.18,481.94,7970.0
637.7,33.55,582.05,753.24,307.22,525.68,6595.0
670.31,26.73,522.02,440.71,105.33,275.16,4519.0
398.07,611.35,333.33,160.58,952.81,438.19,6430.0
207.49,417.62,331.3,484.32,849.61,845.14,7782.0
620.28,290.29,118.69,436.82,803.95,294.96,5507.0
590.98,3.63,486.88,95.81,119.34,409.45,3956.0
341.21,535.35,820.88,44.73,730.23,807.56,7737.0
515.56,765.58,670.14,79.95,525.43,609.28,7585.0
711.36,84.09,52.43,907.89,744.53,85.62,5279.0
493.47,326.11,546.03,406.79,492.74,610.5,6838.0
966.54,617.8,850.09,731.43,999.83,354.16,9498.0
